Social,Unit,2023
社會範疇,單位,二零二三年度
"Employee turnover rate by geographical region
按地區劃分的員工流失比率",,
"Northern China
華北區域",%,5.7
"North-eastern China
東北區域",%,0
"Eastern China
華東區域",%,18.1
"Central China
華中區域",%,3.4
"North-western China
西北區域",%,0
"Southern China
南方區域",%,10.9
"Other regions
其他區域",%,0
