Major Stakeholders,Communication Channels
主要持份者,溝通渠道
"Shareholders/Investors
股東╱投資者","• Annual general meeting and other general meetings
of shareholders
股東週年大會與其他股東大會
• Interim report and annual report
中期報告與年報
• Corporate communications, such as shareholder
letters/circulars and meeting notices
企業通訊，如致股東信件╱通函及會議通知
• Results announcement
業績公佈
• Investor meeting
投資者會議"
"Business partners
業務夥伴","• Meeting
會議
• Visit
訪談
• Report
報告"
"Suppliers
供應商","• Supplier/contractor evaluation system
供應商╱承辦商評估制度
• Meeting
會議"
"Regulatory authority
監管機構","• Meeting
會議"
"Media
傳媒","• Press release
新聞稿
• Results announcement
業績公佈"
"Community/Non-governmental
organisation
社區╱非政府團體","• Volunteering activities
義工活動
• Donation
捐獻"
"Peers
同業","• Group announcement
集團通告"
