Social,Unit,2023
社會範疇,單位,二零二三年度
"Average training hours of employees trained by gender 6
6
按性別劃分的受訓僱員平均培訓時數",,
"Male
男性","Hour
小時",28.9
"Female
女性","Hour
小時",26.7
"Average training hours of employees trained by employment type
按僱傭類別劃分的受訓僱員平均培訓時數",,
"Average training hours per full-time junior employee
每個全職初級員工平均培訓時數","Hour
小時",27
"Average training hours per full-time middle employee
每個全職中級員工平均培訓時數","Hour
小時",24
"Average training hours per full-time senior employee
每個全職高級員工平均培訓時數","Hour
小時",31
