特定職位的女性比例17,,,,,,
,人數,%,人數,%,人數,%
,"2,075",48,,,,
,"2,286",52,,,,
,10,56,,,,
,8,44,,,,
,"2,085",54,,,,
,"1,757",46,,,,
,"1,162",45,,,,
,"1,438",55,,,,
,676,73,,,,
,249,27,,,,
