環境、社會及管治指引/GRI標準參考,2023,,2022,,2021,
董事會組成,,,,,,
,人數,%,人數,%,人數,%
,17,-,,,,
,16,94,,,,
,1,6,,,,
,0,0,,,,
,4,24,,,,
,13,76,,,,
