培訓亮點
"全新的設計思維培訓課程，指導員工
秉持著以人為本的態度，鼓勵創新
及利用集體智慧構思解決方案。"
"「數據素養賦能計劃」旨在培育員
工成為數碼公民及公民數據師。"
"東亞銀行策辦的一系列微學習課
程，主題涵蓋科技與數據、環境、社
會及管治和大灣區跨境業務。"
"成長思維培訓計劃旨在協助各職級
員工提升技能，透過學習促進個人發
展，踏上成功之路。"
"「未來領袖培訓計劃」識別具高潛
質的員工。"
"東亞中國的「環境、社會及管治學習
賦能計劃」讓擔任環境、社會及管
治相關職務的員工提升技能。培訓
內容包括可持續發展、氣候風險管
理、綠色及可持續金融、報告、合規
及管控。"
