環境、社會及管治指引/GRI標準參考,2023,,2022,,2021,
產育嬰假,,,,,,
,男性,女性,男性,女性,男性,女性
,100.0,100.0,,,,
,84,491,,,,
,79,476,,,,
,48,473,,,,
,95.2,98.8,,,,
,64.0,89.9,,,,
