,產品及服務
"東亞銀行（中國）有限公司
(「東亞中國」)",- 個人及批發銀行
東亞數據信息服務（廣東）有限公司,"- 後勤營運及服務（例如客戶聯絡中
心、數據處理、應用程式開發及合規
營運）"
