GRI標準,披露編號及題目,頁碼/註釋
GRI 2,一般披露2021,
組織及其報告做法,,
2-1,,
2-2,,
2-3,,
2-4,,
2-5,,
活動與工作者,,
2-6,,
2-7,,
2-8,,
治理,,
2-9,,
2-10,,
2-11,,
2-12,,
2-13,,
2-14,,
2-15,,
2-16,,
2-17,,
2-18,,
2-19,,
2-20,,
2-21,,
策略、政策與實務,,
2-22,,
2-23,,
2-24,,
2-25,,
2-26,,
2-27,,
2-28,,
利害關係人議合,,
2-29,,
2-30,,
