獎項,頒獎機構
東亞銀行,
"減廢證書（卓越級別）－ 東亞銀行大廈、德輔道中33號; (良好級) －
東亞銀行中心",
節能證書（卓越級別）－ 東亞銀行大廈、東亞銀行中心,
清新室內空氣證書（卓越級別）－ 東亞銀行中心；（良好級）－ 東亞銀行大廈,
"室內空氣質素檢定證書 — 卓越級（東亞銀行大廈、東亞銀行中心）；
良好級（德輔道中33號）",
"大廈優質供水認可計劃 － 食水（管理系統）（金）－ 東亞銀行大廈、東亞銀行
中心；（銀）－ 德輔道中33號",
大廈優質供水認可計劃 － 沖廁水（管理系統）（金）－ 東亞銀行中心,
