獎項,頒獎機構
東亞銀行,
"香港綠色和可持續金融大獎 2023『傑出綠色和可持續貸款服務機構（服裝和
紡織業）－ 卓越遠見可持續發展掛鉤貸款績效指標』",
"香港綠色和可持續金融大獎 2023『傑出綠色和可持續貸款服務機構（電子元
件業）－ 卓越遠見綠色貸款框架』",
香港綠色和可持續貢獻大獎 － 2023傑出ESG披露貢獻大獎,
TVB環境、社會及管治大獎2023 － ESG特別嘉許獎,
2022年粵港澳大灣區企業可持續發展指數系列 － 20名企業,
「商界展關懷」機構（連續第20年獲嘉許）,
香港最佳僱主品牌,
2022/2023年度商業及僱員募捐計劃「鑽石獎」（連續第29年獲獎）,
香港銀行業人才發展獎勵計劃 － HKIB人才發展獎2023（第一組別）,
資歷架構認證計劃 － 資歷架構星級僱主,
人才企業嘉許計劃 － 人才企業（自2012年獲嘉許）,
CTgoodjobs Best HR Awards 2023 最佳企業福祉計劃大獎（傑出大獎）,
CTgoodjobs Best HR Awards 2023 最佳培訓及發展創新大獎（傑出大獎）,
CTgoodjobs Best HR Awards 2023 最佳數據素養大獎（傑出大獎）,
CTgoodjobs Best HR Awards 2023 最佳企業社會責任大獎（金獎）,
CTgoodjobs Best HR Awards 2023 最佳畢業生及管理培訓生招聘大獎（金獎）,
母乳餵哺室設計比賽 － 最佳創意獎,
企業「一」起動嘉許計劃 2023-2025 － 獲嘉許企業,
投資者及理財教育獎（企業）2023,
"Big Data － Banking and Analytics － Banking award in the Hong Kong
Business Technology Excellence Awards",
香港綠色機構 － 東亞設施管理有限公司及東亞銀行大廈,
卓越碳中和獎 － 嘉許獎,
