"有關提升僱員履行工作職責的知識及技能的
政策。描述培訓活動。",126-128
"按性別及僱員類別（如高級管理層、中級管
理層）劃分的受訓僱員百分比。",126; 161
"按性別及僱員類別劃分，每名僱員完成受訓
的平均時數。",126; 161
