GRI 306： 廢棄物2020
3-3
306-1
306-2
306-3
306-4
306-5
GRI 308： 供應商環境評估2016
3-3
308-1
GRI 401：僱傭2016
3-3
401-1
401-2
401-3
GRI 402： 勞/資關係2016
3-3
402-1
GRI 403： 職業健康與安全2018
3-3
403-3
403-5
403-6
403-9
GRI 404：培訓及教育2016
3-3
404-1
404-2
404-3
GRI 405：多元化及平等機會2016
3-3
405-1
GRI 406： 反歧視2016
3-3
406-1
