支柱,對東亞銀行的意義
負責任的業務,以誠行事，遵守適用法律及規例，並為我們的供應商制定相同標準
,提供產品及服務，以支援小型企業、邊緣團體以及為社會及環境創造價值的公司或項目
,在風險管理程序中計入可持續發展因素，並與內部和外部持份者共同宣揚企業社會責任和可持續發展
,公平對待及尊重所有客戶，並為所有客戶提供方便的服務，以及保障客戶資料私隱
,提供優質產品，並確保客戶掌握完整及準確的資訊，以便他們作出決定
負責任的營運,投放資源於人才發展及培訓方面
,提供安全、健康及共融的工作環境
,提供平等機會予所有僱員及求職者
,鼓勵高層管理人員與員工開放對話
,減低本集團辦公大樓及分行的環境足跡，並致力節約能源、減少碳排放、耗用紙張及產生廢棄物，避免浪費
,提倡僱員、客戶及供應商在日常注重環保
負責任的公民,善用本集團資源，為業務所在地區的社群作出貢獻
,鼓勵僱員透過義工活動，與社區建立連繫
