主要措施,,
能源,紙張,廢物
"更多分行淘汰慳電膽（緊湊熒光燈），
改用LED燈（「發光二極體光管」）。","透過持續採用電子化措施及推廣無紙辦公模式，
香港的訂購紙張數量較2020年基準減少72%。","由2023年起，由設施管理部
提供餐飲服務的活動只供應
可重用餐具及用品。"
"繼續推行製冷系統更換工程，竣工後
香港東亞銀行中心製冷機組的能源效
益預期較2019年基準提高約40%。","東亞中國成功實施精益業務營運，包括推出個人
理財綜合結單，用紙量較2020年基準減少72%。",
,,"為減少廢物，本行已豁免其
投資物業的指定租戶，於退
租時還原處所至交樓時狀況
的要求。"
,"英國分行的公用打印機均已安裝Papercut軟件，
盡量避免誤印。",
"東亞中國購置三部電動車，同時減少
10部燃油車。",,
