,產品及服務
"東亞銀行有限公司
(「東亞銀行」或「本行」)","- 個人及批發銀行
- 財富管理
- 資金服務"
"東亞銀行（信託）有限公司
(「東亞信託」)",- 強制性公積金(「強積金」)服務
"東亞證券有限公司
(「東亞證券」)",- 證券經紀
"東亞期貨有限公司
(「東亞期貨」)",- 期貨及期權經紀
"東亞聯豐投資管理有限公司
(「東亞聯豐」)","- 資產管理
- 企業財務諮詢"
