環境、社會及管治指引/GRI標準參考,2023,,2022,,2021,
新聘員工,,,,,,
,人數,%,人數,%,人數,%
,"1,197",14.9,,,,
,611,18.1,,,,
,586,12.6,,,,
,416,44.8,,,,
,695,12.2,,,,
,86,6.1,,,,
,909,19.8,,,,
,173,6.0,,,,
,115,21.1,,,,
