環境、社會及管治指引/GRI標準參考,2023,,2022,,2021,
按地區劃分的供應商數目20,,,,,,
,人數,%,人數,%,人數,%
,"1,311",100,,,,
,562,43,,,,
,434,33,,,,
,37,3,,,,
,58,4,,,,
,86,7,,,,
,119,9,,,,
,15,1,,,,
