環境、社會及管治指引/GRI標準參考,,2023,,2022,,2021,
因工受傷或死亡18,,,,,,,
,,人數,比率(%),人數,比率(%),人數,比率(%)
,,0,0.00,,,,
,,0,0.00,,,,
,,0,0.00,,,,
,,0,0.00,,,,
,,0,0.00,,,,
,,12,0.15,,,,
,,5,0.11,,,,
,,7,0.24,,,,
,,0,0.00,,,,
,,638,-,,,,
,,527,-,,,,
,,111,-,,,,
,,0,-,,,,
