"東亞銀行中心
香港觀塘","香港建築環境評估法
優秀評級"
"德輔道中33號
香港中環","建築環境評估法新建建築物
金級評級"
"東亞銀行金融大廈
上海
東亞中國上海總部/上海分行","能源與環境設計
先鋒金級"
"東亞銀行大廈
北京
東亞中國北京分行","能源與環境設計
先鋒金級"
"東亞銀行大廈
上海
東亞中國上海浦西支行","能源與環境設計
先鋒金級"
"東亞銀行大廈
深圳前海","中國綠色建築評價標識
三星級別"
,"能源與環境設計
先鋒鉑金級"
,"WELL健康建築標準
金級"
