GRI標準,披露編號及題目,頁碼/註釋
重大議題,,
GRI 3：重大議題,,
3-1,,
3-2,,
GRI 201：經濟績效2016,,
3-3,,
201-1,,
201-2,,
GRI 203： 間接經濟衝擊 2016,,
3-3,,
203-2,,
GRI 205：反貪腐 2016,,
3-3,,
205-2,,
205-3,,
GRI 207：稅務 2019,,
3-3,,
207-1,,
207-2,,
GRI 302：能源 2016,,
3-3,,
302-1,,
302-2,,
302-3,,
302-4,,
GRI 303：水資源和污水 2018,,
3-3,,
303-5,,
GRI 305：排放2016,,
3-3,,
305-1,,
305-2,,
305-3,,
305-4,,
305-5,,
305-7,,
