"環境、社會及
管治報告指引/
GRI標準參考",僱員資料,2023,2022,2021
,,"8,140",,
,,"3,432",,
,,"4,708",,
,,"3,387",,
,,"4,668",,
,,45,,
,,40,,
,,"4,602",,
,,70,,
,,"2,905",,
,,1,,
,,548,,
,,14,,
,,"3,429",,
,,"4,690",,
,,3,,
,,18,,
,,954,,
,,"5,713",,
,,"1,473",,
