約章/計劃,協會、非政府機構及商會名稱,"採納約章
的年份",約章適用地點
東亞銀行,,,
《可持續採購約章》,環保促進會,2018,
《戶外燈光約章》,環境及生態局,2016,
「木材回收樹木保育計劃」,香港環境保護協會,2016,
"「大廈優質供水認可計劃 — 食水（2.0版）」
（基本級別）",香港特別行政區水務署（「水務署」）,2016,
《有能者 • 聘之約章》及共融機構嘉許計劃,"香港特別行政區勞工及福利局、康復諮
詢委員會、香港復康聯會和社聯",2015,
《公平待客約章》,金管局,2013,
