,"16,258","18,805"
香港,916,911
中國內地,310,203
亞洲（香港及中國內地除外）,55,72
英國,"4,369","4,813"
歐洲,954,"1,091"
澳洲,"7,055","7,962"
加拿大,317,310
美國,"1,963","3,141"
新西蘭,312,296
其他地區,7,6
