員工流失,,,,,,
,人數,%,人數,%,人數,%
,"1,412",17.6,,,,
,642,19.0,,,,
,770,16.6,,,,
,296,31.9,,,,
,856,15.0,,,,
,260,18.5,,,,
,985,21.5,,,,
,318,10.9,,,,
,109,20.0,,,,
