主要範疇、層面、一般披露及關鍵績效指標,,頁,備註
,"總耗水量及密度（如以每產量單位、每項設
施計算）。",100; 157,
,"描述所訂立的能源使用效益目標及為達到這
些目標所採取的步驟。","12-15;
83-91",
,"描述求取適用水源上可有任何問題，以及所
訂立的用水效益目標及為達到這些目標所採
取的步驟。",100,
,"製成品所用包裝材料的總量（以噸計算）及
（如適用）每生產單位佔量。",102; 157,
