東亞中國
2023年度彭博綠金ESG 50榜單 － 年度受關注企業
2023年綠色金融高品質發展優秀案例 － 可持續資訊披露最佳實踐獎
2023綠色發展年度致敬評選 － 年度卓越氣候雄心
最佳團隊凝聚力
公益之星
