,,總計,,,總部辦公室,,,中國內地投資物業,,,中國內地發展物業,,,香港郵政,,,九龍倉酒店,,,管理的酒店,,,物流,,
,單位,2023,2022,2021,2023,2022,2021,2023,2022,2021,2023,2022,2021,2023,2022,2021,2023,2022,2021,2023,2022,2021,2023,2022,2021
物料使用10,,,,,,,,,,,,,,,,,,,,,,,,,
物料種類GRI 301-1; HKEX KPI A2.5,,,,,,,,,,,,,,,,,,,,,,,,,
,公噸,1.78,1.00 0.48,,N/A,N/A N/A,,0.28,0.32 0.10,,N/A,N/A N/A,,N/A,N/A N/A,,0.42,0.23 0.16,,1.09,0.40 0.18,,0.05,,
,公噸,614.72,608.53 681.48,,6.15,6.79 7.91,,440.57,458.60 510.35,,3.93,4.75 11.76,,N/A,3.87 2.75,,85.16,75.76 78.00,,61.20,37.38 47.15,,17.71,,
,公噸,8.26,7.74 9.23,,N/A,N/A N/A,,2.90,1.36 5.82,,N/A,N/A N/A,,N/A,N/A N/A,,0.55,0.00 0.19,,4.81,6.38 3.22,,N/A,,
,公噸,4.79,8.74 27.82,,N/A,N/A N/A,,4.79,4.50 2.32,,N/A,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,,N/A,4.24 25.50,,N/A,,
,公噸,1.00,0.004 3.53,,N/A,N/A N/A,,N/A,0.004 0.38,,N/A,N/A N/A,,N/A,N/A N/A,,1.00,N/A 3.15,,N/A,N/A N/A,,N/A,,
