主辦機構,獎項與殊榮,業務單位
恒生指數有限公司,,
香港品質保證局,,
MSCI,,
香港特區政府民政及青年事務局 — 社區投資共享基金,,
SGS United Kingdom Limited,,
美國綠色建築委員會,,
香港綠色建築議會,,
香港社會服務聯會,,
聯合國兒童基金會香港委員會,,
僱員再培訓局,,
強制性公積金計劃管理局,,
綠領行動,,
職業安全健康局,,
香港中小型企業總商會,,
福布斯旅遊指南,,
EarthCheck,,
平等機會委員會,,
新加坡建設局,,
環境運動委員會,,
香港提升快樂指數基金及香港生產力促進局,,
貓途鷹,,
Platinum Clubs of the World,,
搜狐江蘇,,
品味生活,,
