氣體排放,,,,,,
"按種類和來源劃分的氣體排放量 GRI 305-7, HKEX KPI A1.1",,,,,,
,51.371,42.579 44.641,51.284,42.500 44.560,0.087,0.079 0.081
,0.048,0.037 0.039,0.047,0.036 0.038,0.0005,0.0005 0.0005
,1.065,1.093 1.157,1.065,1.093 1.156,0.0003,0.0002 0.0006
