35 (71%),32 (68%) 34 (68%),28 (74%),26 (70%) 27 (71%),6 (75%),5 (71%) 6 (67%),1 (33%),1 (33%) 1 (33%)
197 (55%),181 (53%) 180 (54%),171 (58%),156 (56%) 149 (57%),16 (47%),17 (50%) 24 (53%),10 (36%),8 (27%) 7 (25%)
"1,320 (54%)","1,272 (56%) 1,390 (56%)","1,187 (53%)","1,146 (55%) 1,171 (55%)",116 (67%),107 (62%) 199 (56%),17 (81%),19 (83%) 20 (77%)
