滙豐控股普通股獎勵,,,,,
於2023年,期內,,,,"於2023年
12⽉31⽇"
1⽉1⽇ 期內授出 實際授出1 期內失效,,,,期內註銷,
"119,879,459","— 44,485,485 2,888,364 — 72,505,610",,,,
—,"63,635,613","19,632,760","871,591 7,612",,"43,123,650"
—,"2,486,251","800,261","80,516",—,"1,605,474"
—,"1,334,867","470,732","8,416 9,191",,"846,528"
—,"856,213","247,496",— —,,"608,717"
—,"1,313,594","150,941",— —,,"1,162,653"
—,"834,179","361,441 9,583 117",,,"463,038"
"119,879,459 70,460,717 66,149,116 3,858,470 16,920 120,315,670",,,,,
