35 (71%),36 (77%) 36 (72%),27 (71%),29 (78%) 27 (71%),5 (62%),4 (57%) 6 (67%),3 (100%),3 (100%) 3 (100%)
349 (97%),333 (97%) 329 (98%),289 (97%),270 (97%) 259 (98%),33 (97%),33 (97%) 42 (93%),27 (96%),30 (100%) 28 (100%)
"2,298 (95%)","2,168 (95%) 2,386 (96%)","2,120 (95%)","1,993 (95%) 2,022 (96%)",170 (98%),166 (97%) 354 (99.7%),8 (38%),9 (39%) 10 (38%)
