主辦機構,會員性質╱約章名稱,業務單位
香港綠建商鋪聯盟,,
Real Estates Developers’ Association of Singapore,,
Singapore Business Federal,,
香港酒店財務總監及會計師公會,,
香港總商會,,
香港酒店業協會,,
香港國際金鑰匙協會,,
綠十字會,,
香港管理專業協會,,
香港特區政府機電工程署,,
香港品質保證局,,
聯合國兒童基金會香港委員會,,
職業安全健康局,,
義大利商會,,
香港特區政府環境保護署,,
香港特區政府環境及生態局,,
香港特區政府衞生署、勞工處及職業安全健康局,,
