"1,073.38","1,022.12 1,180.48",964.73,"927.76 1,055.75",44.64,26.08 43.96,49.82,54.21 58.42,1.66,4.29 12.05,12.53,9.78 10.29
23.53,14.00 22.87,20.53,12.04 17.73,0.34,0.29 0.56,1.31,0.29 0.28,1.19,1.30 4.21,0.16,0.08 0.09
48.15,35.99 34.87,46.93,34.91 32.56,0.11,0.15 0.51,0.92,0.67 0.77,0.01,0.19 0.96,0.18,0.07 0.08
380.91,295.44 547.37,251.60,235.76 296.77,0.12,0.53 3.72,79.42,33.03 0.00,49.77,26.12 246.88,N/A,N/A N/A
31.23,20.52 36.94,6.04,4.57 9.85,0.37,0.15 0.23,21.74,14.34 17.47,2.86,1.46 9.39,0.22,0.00 0.00
0.90,0.34 0.33,N/A,N/A N/A,N/A,N/A N/A,0.90,0.34 0.33,0.00,0.00 0.00,N/A,N/A N/A
0.76,0.77 1.06,0.22,0.35 0.60,0.00,0.00 0.00,0.54,0.42 0.46,0.00,0.00 0.00,0.00,0.00 0.00
