指標,單位,2021年,2022年,2023年
,萬噸,34.32,25.93,
,億立方米,24.69,25.82,
,萬噸,5.71,5.15,
,億千瓦時,6.36,12.85,
,噸標準煤/噸,0.0592,0.0571,
