指標,單位,2021年,2022年,2023年
,萬噸二氧化碳當量,"1,030.5","1,087.9",
,萬噸二氧化碳當量,977.4,977.9,
,萬噸二氧化碳當量,53.1,110.1,
,噸二氧化碳當量/噸,0.1597,0.1556,
