,2023,2022,2021,2020,2019
僱員,,,,,
,6 (0.15),13 (0.3),–,–,–
,448,395,"1,072",955,"1,265"
,0 (0),0 (0),–,–,–
,0 (0),0 (0),–,–,–
,0* (0),1 (0.02),0,0,0
承辦商,,,,,
,0 (0),2,–,–,–
,0,18,–,–,–
,0 (0),0,–,–,–
,0 (0),0,–,–,–
,0* (0),1,–,–,–
