範圍,聯合國全球契約十項原則,披露索引
,企業應支持並尊重國際公認的人權,
,企業應保證不與踐踏人權者同流合污,
,企業應支持結社自由及切實承認集體談判權,
,企業應消除一切形式的強迫和強制勞動,
,企業應消除僱傭童工情況,
,企業應消除就業和職業方面的歧視,
,企業應支持採用預防性方法應對環境挑戰,
,企業應採取主動行動，促進在環境方面更負責任的做法,
,企業應鼓勵開發和推廣環境友好型技術,
,企業應努力反對一切形式的腐敗，包括敲詐和賄賂,
