,2023,2022,2021,2020,2019
業務,,,,,
,2.02,2.00,1.96,1.94,1.93
,40.2,37.3,35.0,31.8,29.8
,2.93,2.77,2.62,2.53,2.38
,"27,125","27,398","27,677","27,947","28,712"
,347,321,311,269,256
,"1,041","1,027",994,917,926
財務,,,,,
,"56,971","60,953","53,564","40,927","40,628"
,"3,879","3,741","3,624","3,284","3,485"
,"8,428","8,321","8,387","7,295","7,053"
,"2,003","1,859","2,155","1,713","2,290"
,"6,531","6,531","6,531","6,220","5,924"
,"6,070","5,248","5,017","6,007","6,966"
