,2023,2022,2021,2020,2019
僱員,,,,,
,14 (2.8),19 (4.0),15 (2.2),21 (3.2),12 (1.8)
,845,657,"1,013",386,244
,0 (0),0 (0),–,–,–
,0 (0),0 (0),0 (0),0 (0),0 (0)
,0* (0),0 (0),0 (0),0 (0),0 (0)
承辦商,,,,,
,7 (1.7),5 (1.3),5 (1.2),11 (2.5),6 (1.4)
,201,103,–,–,–
,0 (0),0 (0),–,–,–
,0 (0),0 (0),–,–,–
,0* (0),0 (0),0 (0),0 (0),0 (0)
