"指標 單位 2021 2022 2023
新聘僱員總數41 人數 – 3,507 3,179
新聘僱員比率42 百分比 – 22.44% 27.27%
按性別劃分的新僱員
– 2,091 1,666
男性
(59.62%) (52.41%)
人數（百分比）
– 1,416 1,513
女性
(40.38%) (47.59%)
按年齡組別劃分的新僱員
– 1,436 1,474
30歲或以下
(40.94%) (46.37%)
– 1,847 1,440
31–50歲 人數（百分比）
(52.67%) (45.30%)
– 224 265
51歲或以上
(6.39%) (8.33%)
按地區劃分的新僱員
香港 – 2,630 1,754
人數
香港以外的地區 – 877 1,425
按管理級別劃分的新僱員
– – 75
高級管理層
(2.36%)
– – 841
中級管理層 人數（百分比）
(26.45%)
– – 2,263
中級管理層以下
(71.19%)",指標,單位,2021,2022,2023
,新聘僱員總數41,人數,–,"3,507","3,179"
,新聘僱員比率42,百分比,–,22.44%,27.27%
,按性別劃分的新僱員,,,,
,男性,人數（百分比）,–,"2,091
(59.62%)","1,666
(52.41%)"
,女性,,–,"1,416
(40.38%)","1,513
(47.59%)"
,按年齡組別劃分的新僱員,,,,
,30歲或以下,人數（百分比）,–,"1,436
(40.94%)","1,474
(46.37%)"
,31–50歲,,–,"1,847
(52.67%)","1,440
(45.30%)"
,51歲或以上,,–,"224
(6.39%)","265
(8.33%)"
,按地區劃分的新僱員,,,,
,香港,人數,–,"2,630","1,754"
,香港以外的地區,,–,877,"1,425"
,按管理級別劃分的新僱員,,,,
,高級管理層,人數（百分比）,–,–,"75
(2.36%)"
,中級管理層,,–,–,"841
(26.45%)"
,中級管理層以下,,–,–,"2,263
(71.19%)"
