勞動力概況,2022,2023
僱員人數,968,951
按性別劃分,,
男性,463,452
女性,505,499
按聘用合約劃分,,
全職,946,951
兼職,22,0
按年齡組別劃分,,
30歲以下,175,162
30–50歲,664,674
50歲以上,129,115
按職級劃分,,
高級管理層13,不適用,32
中級管理層14,不適用,227
一般僱員15,不適用,692
按地區劃分,,
香港,236,200
內地,732,751
按教育程度劃分,,
高中文憑或以下,不適用,276
大學本科,不適用,511
研究院,不適用,97
其他,不適用,67
