"方面 政策 變更
• 人力資源政策 在本年度並沒更新
• 安全及健康政策聲明
僱傭
• 能源及水資源管理政策及指引 在本年度並沒更新
• 減少氣體排放政策
環境
• 集團採購政策和原則# • 集團採購政策和原則已更新，將可持續採
購原則納入集團的整體採購戰略
• 供應商守則#
• 供應商守則已更新，納入了概述供應商環
供應鏈管理 境和社會要求的附加條款",方面,政策,變更
,僱傭,"• 人力資源政策
• 安全及健康政策聲明",在本年度並沒更新
,環境,"• 能源及水資源管理政策及指引
• 減少氣體排放政策",在本年度並沒更新
,供應鏈管理,"• 集團採購政策和原則#
• 供應商守則#","• 集團採購政策和原則已更新，將可持續採
購原則納入集團的整體採購戰略
• 供應商守則已更新，納入了概述供應商環
境和社會要求的附加條款"
