"指標 單位 2021 2022 2023
僱員流失總數 人數 – 6,033 5,028
僱員流失比率43 – – 37.11%
百分比
自願流失比率44 36.80% 30.16% 31.24%
按性別劃分僱員流失比率
男性 38.00% 26.05% 26.88%
百分比
女性 36.00% 36.55% 36.76%
按年齡組別劃分的僱員流失比率
30歲或以下 83.00% 65.73% 64.23%
31–50歲 百分比 25.00% 23.12% 24.35%
51歲或以上 8.00% 8.33% 11.55%
按地區劃分的僱員流失比率
香港 24.00% 22.96% 27.04%
百分比
香港以外的地區 – 41.62% 39.26%
按管理級別劃分的僱員流失比率
高級管理層 – – 40.12%
中級管理層 百分比 – – 16.08%
中級管理層以下 – – 9.99%",指標,單位,2021,2022,2023
,僱員流失總數,人數,–,"6,033","5,028"
,僱員流失比率43,百分比,–,–,37.11%
,自願流失比率44,,36.80%,30.16%,31.24%
,按性別劃分僱員流失比率,,,,
,男性,百分比,38.00%,26.05%,26.88%
,女性,,36.00%,36.55%,36.76%
,按年齡組別劃分的僱員流失比率,,,,
,30歲或以下,百分比,83.00%,65.73%,64.23%
,31–50歲,,25.00%,23.12%,24.35%
,51歲或以上,,8.00%,8.33%,11.55%
,按地區劃分的僱員流失比率,,,,
,香港,百分比,24.00%,22.96%,27.04%
,香港以外的地區,,–,41.62%,39.26%
,按管理級別劃分的僱員流失比率,,,,
,高級管理層,百分比,–,–,40.12%
,中級管理層,,–,–,16.08%
,中級管理層以下,,–,–,9.99%
