"指標 單位 2021 2022 2023
溫室氣體總排放量23
直接溫室氣體排放（範圍1）24 6,548 4,336 5,080
間接溫室氣體排放（範圍2）25 186,406 159,170 145,617
其他溫室氣體排放（範圍3）26 1,248.89 1,044.90 981.65
• 耗紙量 噸二氧化碳當量 1,023.07 833.61 776.34
• 總耗水量與污水排放量27 225.82 211.29 205.31
溫室氣體排放總量（範圍1+2） 192,954 163,505 150,698
溫室氣體排放總量（範圍1+2+3） 194,203 164,550 151,679
噸二氧化碳當量╱
溫室氣體排放密度21
每百萬港元 5.48 4.56 4.17
耗水量
總耗水量28 立方米 366,000 331,182 321,805
立方米╱員工 28.39 26.74 33.10
耗水密度21, 29 立方米╱
每百萬港元 10.32 9.18 8.85",指標,單位,2021,2022,2023
,溫室氣體總排放量23,,,,
,直接溫室氣體排放（範圍1）24,噸二氧化碳當量,"6,548","4,336","5,080"
,間接溫室氣體排放（範圍2）25,,"186,406","159,170","145,617"
,其他溫室氣體排放（範圍3）26,,"1,248.89","1,044.90",981.65
,• 耗紙量,,"1,023.07",833.61,776.34
,• 總耗水量與污水排放量27,,225.82,211.29,205.31
,溫室氣體排放總量（範圍1+2）,,"192,954","163,505","150,698"
,溫室氣體排放總量（範圍1+2+3）,,"194,203","164,550","151,679"
,溫室氣體排放密度21,"噸二氧化碳當量╱
每百萬港元",5.48,4.56,4.17
,耗水量,,,,
,總耗水量28,立方米,"366,000","331,182","321,805"
,"耗水密度21, 29",立方米╱員工,28.39,26.74,33.10
,,"立方米╱
每百萬港元",10.32,9.18,8.85
