"指標 單位 2021 2022 2023
供應商總數 數量 4,150 4,751 5,468
按地區劃分的供應商數目
香港 3,340 3,780 4,218
中國內地 數量 280 381 532
中國以外國家或地區 530 590 718
社區投資
指標 單位 2021 2022 2023
捐款及物資援助47 千港元 20,308 115,306 17,776
義工活動總時數 小時 3,914 2,659 4,423",指標,單位,2021,2022,2023
,供應商總數,數量,"4,150","4,751","5,468"
,按地區劃分的供應商數目,,,,
,香港,數量,"3,340","3,780","4,218"
,中國內地,,280,381,532
,中國以外國家或地區,,530,590,718
