"指標 單位 2021 2022 2023
空氣排放物20
二氧化硫（SOx） 5.97 5.33 4.62
氮氧化物（NOx） 千克 2,775.00 1,995.98 2,276.50
懸浮粒子（PM） 252.11 181.05 202.64
能源消耗
能源消耗總量 千兆焦耳 1,304,983 1,185,070 1,115,723
千兆焦耳╱
能源消耗密度21
每百萬港元 36.81 32.86 30.70
間接能源消耗
電力消耗 千瓦時 358,192,525 325,170,141 306,344,804
千兆焦耳╱
耗電密度21
每百萬港元 36.37 32.46 30.34
直接能源消耗
汽油燃料 – 車隊 97,912 90,214 82,230
柴油燃料 – 車隊 公升 281,043 248,566 211,746
柴油燃料 – 備用緊急發電機 32,335 44,980 40,370
可再生能源產生
太陽能22 千瓦時 – 124,757 119,112",指標,單位,2021,2022,2023
,空氣排放物20,,,,
,二氧化硫（SOx）,千克,5.97,5.33,4.62
,氮氧化物（NOx）,,"2,775.00","1,995.98","2,276.50"
,懸浮粒子（PM）,,252.11,181.05,202.64
,能源消耗,,,,
,能源消耗總量,千兆焦耳,"1,304,983","1,185,070","1,115,723"
,能源消耗密度21,"千兆焦耳╱
每百萬港元",36.81,32.86,30.70
,間接能源消耗,,,,
,電力消耗,千瓦時,"358,192,525","325,170,141","306,344,804"
,耗電密度21,"千兆焦耳╱
每百萬港元",36.37,32.46,30.34
,直接能源消耗,,,,
,汽油燃料 – 車隊,公升,"97,912","90,214","82,230"
,柴油燃料 – 車隊,,"281,043","248,566","211,746"
,柴油燃料 – 備用緊急發電機,,"32,335","44,980","40,370"
,可再生能源產生,,,,
,太陽能22,千瓦時,–,"124,757","119,112"
