"香港聯交所
關鍵績效指標",描述,章節╱聲明
層面A1：排放物,,
一般披露,"有關廢氣及溫室氣體排放、向水及土地的排污、有
害及無害廢棄物的產生等的：
(a)政策；及
(b)遵守對發行人有重大影響的相關法律及規例的資
料。",建設可持續發展的未來
A1.1,排放物種類及相關排放數據。,"建設可持續發展的未來
— 減碳與能源績效；
附錄一 — 表現數據摘要"
A1.2,"直接（範圍1）及能源間接（範圍2）溫室氣體排放量（以
噸計算）及（如適用）密度（如以每產量單位、每項設
施計算）。","建設可持續發展的未來
— 減碳與能源績效；
附錄一 — 表現數據摘要"
A1.3,"所產生有害廢棄物總量（以噸計算）及（如適用）密度
（如以每產量單位、每項設施計算）。","建設可持續發展的未來
— 廢物管理；
附錄一 — 表現數據摘要"
A1.4,"所產生無害廢棄物總量（以噸計算）及（如適用）密度
（如以每產量單位、每項設施計算）。","建設可持續發展的未來
— 廢物管理；
附錄一 — 表現數據摘要"
A1.5,"描述所訂立的排放量目標及為達到這些目標所採取
的步驟。",建設可持續發展的未來
A1.6,"描述處理有害及無害廢棄物的方法，及描述所訂立
的減廢目標及為達到這些目標所採取的步驟。","建設可持續發展的未來
— 廢物管理"
