廢氣排放種類,單位,2022,2023
氮氧化物(NOx),千克,61.93,16.51
硫氧化物(SOx),千克,0.78,0.56
懸浮顆粒(PM),千克,5.29,1.22
無害廢棄物（棄置到堆填區）,單位,2022,2023
棄置到堆填區的廢紙,噸,13.33,13.76
無害廢棄物總量,噸,13.33,21.05
無害廢棄物密度,噸╱全職僱員10,0.01,0.02
有害廢棄物,單位,2022,2023
有害廢棄物總量,噸,不適用,0.09
有害廢棄物密度,噸╱全職僱員,不適用,0.0011
能源消耗,單位,2022,2023
直接能源耗量,兆瓦時,512.21,439.93
汽油,兆瓦時,508.09,439.93
柴油,兆瓦時,4.12,0
間接能源耗量,兆瓦時,759.43,641.10
外購電力,兆瓦時,759.43,641.10
能源總耗量,兆瓦時,"1,271.64","1,081.02"
能源消耗密度,兆瓦時╱全職僱員,1.34,1.14
溫室氣體排放12,單位,2022,2023
直接溫室氣體排放 — 範圍一,二氧化碳排放量以噸計,140.49,125.62
能源間接溫室氣體排放 — 範圍二,二氧化碳排放量以噸計,463.48,400.75
其他間接溫室氣體排放 — 範圍三,二氧化碳排放量以噸計,67.57,85.24
溫室氣體總排放量 — 範圍一、二及三,二氧化碳排放量以噸計,671.54,611.61
溫室氣體排放密度,"二氧化碳排放量以噸計╱
全職僱員",0.71,0.64
耗水量,單位,2022,2023
耗水量,噸,不適用,"2,683.00"
耗水量密度,噸╱全職僱員,不適用,2.82
