"指標 單位 2021 2022 2023
廢物管理：有害廢棄物30
有害廢棄物的產生及回收量31
• 固體廢物32 噸 246.82 217.86 330.13
• 廢料33 243,713 206,696 263,184
• 碳粉盒及墨盒 件 1,152 1,438 1,294
• 電子及資訊設備34 68,280 37,133 44,751
• 設備電纜34 米 209,417 100,846 91,796
廢物管理：無害廢棄物30
無害廢棄物的產生量 1,697.37 1,323.38 1,037.12
• 一般廢物35 824.47 881.10 719.57
噸
• 建築廢料 742.79 326.76 211.27
• 其他無害廢棄物36 130.11 115.52 106.28
無害廢棄物密度21, 37 噸╱每百萬港元 0.05 0.04 0.03
無害廢棄物的回收量 130.11 115.52 106.28
• 紙張 噸 118.48 95.89 94.17
• 廢金屬38 11.63 19.63 12.11
材料消耗：包裝材料
購物袋 噸 16.16 11.04 6.49",指標,單位,2021,2022,2023
,廢物管理：有害廢棄物30,,,,
,有害廢棄物的產生及回收量31,,,,
,• 固體廢物32,噸,246.82,217.86,330.13
,• 廢料33,件,"243,713","206,696","263,184"
,• 碳粉盒及墨盒,,"1,152","1,438","1,294"
,• 電子及資訊設備34,,"68,280","37,133","44,751"
,• 設備電纜34,米,"209,417","100,846","91,796"
,廢物管理：無害廢棄物30,,,,
,無害廢棄物的產生量,噸,"1,697.37","1,323.38","1,037.12"
,• 一般廢物35,,824.47,881.10,719.57
,• 建築廢料,,742.79,326.76,211.27
,• 其他無害廢棄物36,,130.11,115.52,106.28
,"無害廢棄物密度21, 37",噸╱每百萬港元,0.05,0.04,0.03
,無害廢棄物的回收量,噸,130.11,115.52,106.28
,• 紙張,,118.48,95.89,94.17
,• 廢金屬38,,11.63,19.63,12.11
,材料消耗：包裝材料,,,,
,購物袋,噸,16.16,11.04,6.49
