僱員流失比率16,2022,2023
總僱員流失比率,23.20%,18.82%
按性別劃分,,
男性,23.30%,21.46%
女性,23.20%,16.43%
按年齡組別劃分,,
30歲以下,59.40%,46.30%
30–50歲,15.50%,14.54%
50歲以上,14.00%,5.22%
按地區劃分,,
香港,42.00%,31.00%
內地,17.20%,15.58%
