地區,項目,評估標準與評級
,,
香港,日出康城第十三期,"綠建環評（新建建築2.0版）
暫定金級"
,,
,寶珊道30號項目,"美國LEED第4版
銀級預認證"
,,
,凱柏峰,"綠建環評（新建建築1.2版）
暫定金級"
,,
,啟德海灣,"綠建環評（新建建築1.2版）
暫定金級"
