"培訓類目 培訓活動 詳情 培訓次數 參與人數
工程知識 合規相關學習 為了加深員工對《反歧視條例》的認識和了解，並 17 1,755
課程 隨時掌握條例的最新變動，工程團隊為一般員工安
排了七次網上課程，並為所有員工安排了10次面
對面實踐學習課程。所有課程由平等機會委員會舉
辦。
知識共享論壇 為了讓我們的工程團隊分享技術知識與經驗，在 2 98
2023年，我們安排了兩次網上課程。涵蓋的熱門
話題包括「最新無線網路技術更新與家庭無線網路
解決方案」以及「香港電訊自主網絡營運（ANOps）
與用例聯合開發經驗」。
科技 「Bi-weekly 這本雙週刊是由首席技術官辦公室編寫的通訊刊 23期刊 1,000+
Tech Watch」 物，旨在提供最新的技術新聞與訊息，供同事們集
思廣益，為集團發展提出新的業務創意。
「Inspire Inspire Sharing Session聚焦生成式人工智能及科技 10 883
Sharing 相關主題，匯聚了來自內部專家和受人尊敬的外部
Session」 演講嘉賓的廣泛知識。來自AWS和Google的代表，
以及來自尖端加密貨幣與人工智能公司的專家，從
多方面介紹了該領域的最新進展和實際應用。通過
本課程，參與者們能全面了解生成式人工智能與先
進技術的現狀和未來潛力。
「Services & 此課程旨在通過提高同事對集團產品和服務的熟 5 521
Product 悉程度，從而充分激發他們的潛能。以1到5分為
Power-ups」 評價標準，總體滿意度為4.6。",培訓類目,培訓活動,詳情,培訓次數,參與人數
,工程知識,"合規相關學習
課程","為了加深員工對《反歧視條例》的認識和了解，並
隨時掌握條例的最新變動，工程團隊為一般員工安
排了七次網上課程，並為所有員工安排了10次面
對面實踐學習課程。所有課程由平等機會委員會舉
辦。",17,"1,755"
,,知識共享論壇,"為了讓我們的工程團隊分享技術知識與經驗，在
2023年，我們安排了兩次網上課程。涵蓋的熱門
話題包括「最新無線網路技術更新與家庭無線網路
解決方案」以及「香港電訊自主網絡營運（ANOps）
與用例聯合開發經驗」。",2,98
,科技,"「Bi-weekly
Tech Watch」","這本雙週刊是由首席技術官辦公室編寫的通訊刊
物，旨在提供最新的技術新聞與訊息，供同事們集
思廣益，為集團發展提出新的業務創意。",23期刊,"1,000+"
,,"「Inspire
Sharing
Session」","Inspire Sharing Session聚焦生成式人工智能及科技
相關主題，匯聚了來自內部專家和受人尊敬的外部
演講嘉賓的廣泛知識。來自AWS和Google的代表，
以及來自尖端加密貨幣與人工智能公司的專家，從
多方面介紹了該領域的最新進展和實際應用。通過
本課程，參與者們能全面了解生成式人工智能與先
進技術的現狀和未來潛力。",10,883
,,"「Services &
Product
Power-ups」","此課程旨在通過提高同事對集團產品和服務的熟
悉程度，從而充分激發他們的潛能。以1到5分為
評價標準，總體滿意度為4.6。",5,521
