37.1,"(565.8)
777.1
(123.4)",602.9,106.6%
996.8,,219.7,28.3%
(181.1),,(57.7),(46.8%)
"852.8
852.8","87.9
87.9","764.9
764.9","870.2%
870.2%"
,,,
