合作夥伴,組織 ╱約章類別
環境,
香港特別行政區政府,《 減碳約章 》和碳審計綠色機構（ 環境保護署 ）
,《 碳中和夥伴計劃 》（ 環境局）
,《 戶外燈光約章 》（ 環境局）
,《 節能約章 》和《4T 約章 》（ 環境局及機電工程署 ）
,《 惜食約章 》（ 環境局）
,《 玻璃容器回收約章 》（ 環境保護署 ）
商界環保協會,理事會成員
,商界環保協會《 零碳約章 》
,Power Up Coalition 成員
思匯政策研究所與 Walk 21,《 世界步行約章 》
綠惜地球,「 綠惜夥伴計劃 」（ 空氣 ）
香港綠色建築業議會,鉑金贊助會員
世界可持續發展工商理事會,《 建築能源效益宣言 》
世界自然基金會香港分會,2022/23 公司會員 – 純銀會員
,「 向魚翅說不」計劃
全球房地產可持續性基準,GRESB Participant Member
環保促進會,可持續採購約章 — 建立級別會員
城市土地學會 (Urban Land Institute),亞太企業會員及 Greenprint 項目
聯合國全球盟約,參與者
