物業,認證範圍,認證類別,評級
武漢恒隆廣場,購物商場,"能源及環境設計先鋒獎 BD+C — 核心與外殼
v3 2009",金獎
,第一座辦公樓,"能源及環境設計先鋒獎 BD+C — 核心與外殼
v3 2009",金獎
,整座物業組合,WELL 健康─安全評價,-
