指标,单位,2023年,2022年,2021年
报告期内新增员工人数,人,421,458,328
中国籍女性员工比例,%,7.9,8.0,7.3
经营管理岗位中女性员工占比,%,6.6,7.0,18.3
少数民族职工占比,%,3.1,3.0,2.8
