物業,認證範圍,認證類別,評級
渣打銀行大廈,整座物業,綠建環評 1.2 版既有建築,鉑金獎
,,WELL 健康─安全評價,-
山頂廣場,整座物業,綠建環評 1.1 版既有建築,金獎
樂成行,整座物業,"綠建環評 2.0 版既有建築（ 自選評估
計劃 ）",能源卓越
雅蘭中心,購物商場,"綠建環評 2.0 版既有建築（ 自選評估
計劃 ）",能源卓越
,第二座辦公樓,"綠建環評 2.0 版既有建築（ 自選評估
計劃 ）",能源卓越
藍塘道 23–39 號,整座物業,"能源及環境設計先鋒獎 BD+C — 住宅
v3 2008",金獎
電氣道 228 號,辦公樓,"能源及環境設計先鋒獎 BD+C — 核心與外
殼 v4","鉑金獎
（預認證）"
,,WELL v2 核心,"金獎
（預認證）"
