,,
"34,638,330","9,470,286","44,108,616"
"(66,375)",－,"(66,375)"
,,
"34,5 71,955","9,4 70,286","44,0 42,241"
,,
"36,8 98,603","14,9 53,815","51,8 52,418"
,,
