,狀態
"2025年指標
於2022年或以後發展的新項目，竭力把隱含
碳強度（公斤二氧化碳當量／平方米）較在
同等建築物一般採用的方法減少最少10%",進行中
"2023年關鍵績效指標
根據我們2025年隱含碳目標的衡量方法，於
壽山村道重建項目中竭力把隱含碳強度（公
斤二氧化碳當量／平方米）減少最少10%",延誤
