編號,範圍3類別,是否適用,方法／排除理由,計算方法,排放系數數據來源
5,"營運產生的
廢物",是,"此類別包括處置和處理營運
及建築項目產生的廢物所涉
及的排放量。","廢物數量 × 按廢物類
別及廢物處理方法劃
分的排放系數","• 英國商業、能源和產業策略
部，《英國政府指導企業報告
的溫室氣體換算因子 2023
版》（UK Government GHG
Conversion Factors for
Company Reporting）"
6,商務差旅,是,"此類別包括與商務航空旅行
相關的排放量（按旅途距離
計算），以及非航空旅行排
放量（包括的士、車輛或住
宿，按財務支出計算）。","1. 航空旅行：旅途距
離 × 整個生命週期
的排放系數
2. 其他方式的旅行：
財務支出 × USEEIO
排放因子","• 英國商業、能源和產業策略
部，《英國政府指導企業報告
的溫室氣體換算因子 2023
版》（UK Government GHG
Conversion Factors for
Company Reporting）
• US Environmentally-Extended
Input-Output (USEEIO) 模型"
7,員工通勤,是,"此類別包括全體員工往來住
所及工作場所的交通相關排
放量，以及遠距辦公（在家
工作）的排放量。
我們對所有員工進行了網
上問卷調查，以收集準確
數據。","1. 通勤：員工總數目
× 使用該交通工具
的員工百分比 × 通
勤日數 × 通勤距離
× 該交通工具的排
放系數
2. 在家工作：員工總
數目 × 在家工作日
數 × 在家工作排放
系數","• 通勤排放系數來自英國商業、
能源和產業策略部，《英國政
府指導企業報告的溫室氣體換
算因子 2023 版》
（UK Government GHG
Conversion Factors for
Company Reporting）
• 在家工作排放系數乃根據英
國商業、能源和產業策略部，
《英國政府指導企業報告的溫
室氣體換算因子 2023 版》
（UK Government GHG
Conversion Factors for
Company Reporting）及國際
能源署，《排放因子 2023
版》予以估算，其中包括燃料
和能源使用的假設"
