合作夥伴,組織 ╱約章類別
社會,
香港特別行政區政府,《 好心情 @ 健康工作間約章 》（ 衞生署和職業安全健康局 ）
,"《 有能者 • 聘之約章 》（ 勞工及福利局聯同康復諮詢委員會、 香港復
康聯會以及香港社會服務聯會 ）"
義務工作發展局,團體成員
亞洲協會,亞洲企業會員
香港工商專業聯會,公司會員
Business for Societal Impact (B4SI),會員
中華房地產投資開發商會,常務理事委員
香港僱主聯合會,會員
平等機會委員會,《種族多元共融僱主約章 》
香港人力資源管理學會,公司會員
香港管理專業協會,特邀會員
香港公共關係專業人員協會,機構會員
香港上市公司商會,正式會員
香港董事學會,會員
香港建造商會有限公司,會員
香港地產建設商會,公司會員
香港綠色金融協會,公司會員
賽馬會齡活城市計劃,《齡活商場約章》 – 山頂廣場
聯合國兒童基金會,母乳餵哺友善工作間 感謝狀 – 山頂廣場、淘大廣場、康怡廣場
聯合國兒童基金會,母乳餵哺友善場所 （金章） – 康怡廣場、山頂廣場、淘大廣場
