""
"5,892,401"
"1,850,962"
"458,620"
""
"8,201,983"
""
"15,205"
""
""
"(13,301)"
"37,260"
""
"23,959"
""
"2,147,453"
"10,050"
"55,896"
683
"37,143"
"(14,953)"
"(71,135)"
"7,016,268"
""
""
"286,975"
"570,208"
"396,758"
""
"1,253,941"
""
